Study ID,First Author,Publication Year,Title,Publication Type,Publication Venue,DOI/URL,Study Design,Research Question/Objective,Target Model Type,Model Architecture,Domain/Application,Attack Type,Attack Method,Attack Success Rate,Defense Mechanism,Defense Effectiveness,Evaluation Metrics,Dataset Used,Sample Size,Key Findings,Limitations,Future Work Recommendations,Relevance to Adversarial Dynamics,Quality Score (1-5),Notes
S027,Qi,2023,Visual adversarial examples jailbreak aligned LLMs,Journal Article,arXiv preprint,https://arxiv.org/abs/2306.13213,Empirical,Visual jailbreaking of LLMs,Multi-modal LLMs,LLaVA/MiniGPT-4,Vision & Language,Visual Adversarial,Typographic attack,Very High (>90%),None tested,N/A,Jailbreak success rate,Custom harmful prompts,Multiple models,Visual modality bypasses text safety,Safety training insufficient,Cross-modal defense,High - novel attack vector,5,Visual channel vulnerability
S028,Liu,2023,Jailbreaking ChatGPT via prompt engineering,Journal Article,arXiv preprint,https://arxiv.org/abs/2305.13860,Empirical,Systematic jailbreak study,ChatGPT,GPT-3.5/GPT-4,Natural Language,Prompt Engineering,Various prompt techniques,Varies (20-80%),OpenAI updates,Partially effective,Jailbreak success rate,Custom scenarios,100+ prompts,Multiple jailbreak patterns identified,Arms race with defenses,Robust evaluation needed,High - systematic study,5,Comprehensive jailbreak taxonomy
S029,Chao,2023,Jailbreaking black box LLMs in twenty queries,Journal Article,arXiv preprint,https://arxiv.org/abs/2310.08419,Empirical,Efficient black-box jailbreaking,Large Language Models,GPT-family/Claude,Natural Language,Black-box Optimization,PAIR algorithm,High (>80%),None tested,N/A,Query efficiency/success rate,AdvBench,Multiple behaviors,Few queries sufficient for jailbreak,Model-specific tuning needed,Transfer across models,High - query efficient,5,Query-efficient jailbreaking
S030,Deng,2023,Multilingual jailbreak challenges,Journal Article,arXiv preprint,https://arxiv.org/abs/2310.06474,Empirical,Cross-lingual jailbreaking,Large Language Models,GPT/Claude/Bard,Natural Language,Cross-lingual,Low-resource language translation,High (>70%),None tested,N/A,Cross-lingual success rate,XSAFETY benchmark,Multiple languages,Safety training language-specific,Multilingual safety needed,Improve coverage,High - multilingual aspect,5,Cross-lingual safety gaps
S031,Shen,2023,Do anything now,Journal Article,arXiv preprint,https://arxiv.org/abs/2308.03825,Empirical,Characterize real-world jailbreaks,Large Language Models,ChatGPT/GPT-4,Natural Language,Prompt Engineering,In-the-wild jailbreaks,Varies,Continuous updates,Partially effective,Jailbreak taxonomy,6387 jailbreak prompts,6387 prompts,Ten jailbreak patterns identified,Dynamic landscape,Automated detection,High - real-world data,5,Real-world jailbreak analysis
S032,Huang,2023,Catastrophic jailbreak,Journal Article,arXiv preprint,https://arxiv.org/abs/2310.06987,Empirical,Generation-based jailbreak,Open-source LLMs,Vicuna/Falcon/LLaMA,Natural Language,Generation-based,GCG on generation,Very High (>95%),None tested,N/A,Jailbreak success rate,AdvBench,Multiple models,Open models more vulnerable,Alignment gaps,Better alignment methods,High - open-source focus,5,Open-source LLM vulnerability
S033,Yu,2023,GPTFuzzer,Journal Article,arXiv preprint,https://arxiv.org/abs/2309.10253,Empirical,Automated jailbreak fuzzing,Large Language Models,ChatGPT/GPT-4,Natural Language,Fuzzing,Template-based fuzzing,High (>70%),None tested,N/A,Jailbreak diversity/success,Custom templates,Multiple scenarios,Fuzzing generates diverse jailbreaks,Template dependency,Template-free methods,High - automated generation,5,Fuzzing-based jailbreak generation
S034,Liu,2023,AutoDAN,Journal Article,arXiv preprint,https://arxiv.org/abs/2310.04451,Empirical,Stealthy jailbreak generation,Large Language Models,GPT-3.5/GPT-4/LLaMA,Natural Language,Hierarchical Genetic,AutoDAN algorithm,High (>80%),Perplexity filter,Partially effective,Jailbreak success/perplexity,AdvBench,Multiple behaviors,Stealthy jailbreaks bypass filters,Computational cost,Improve efficiency,High - stealthy attacks,5,Low-perplexity jailbreaks
S035,Wallace,2024,Instruction hierarchy,Journal Article,arXiv preprint,https://arxiv.org/abs/2404.13208,Empirical,Defense via instruction prioritization,Large Language Models,GPT-family,Natural Language,Defense Mechanism,Hierarchical training,N/A,Instruction Hierarchy,Good (reduces attacks by 63%),Attack success rate,Custom dataset,Multiple scenarios,Prioritization improves robustness,Not foolproof,Combine with other defenses,High - novel defense,5,Instruction prioritization defense
S036,Robey,2023,SmoothLLM,Journal Article,arXiv preprint,https://arxiv.org/abs/2310.03684,Empirical,Randomized smoothing for LLMs,Large Language Models,GPT-family/LLaMA,Natural Language,Defense Mechanism,Character-level perturbations,N/A,SmoothLLM,Moderate (reduces ASR by 50-70%),Attack success reduction,GCG attacks,Multiple models,Randomized smoothing helps defense,Computational overhead,Improve efficiency,High - defense mechanism,5,Randomized smoothing defense
S037,Jain,2023,Baseline defenses,Journal Article,arXiv preprint,https://arxiv.org/abs/2309.00614,Empirical,Evaluate baseline defenses,Large Language Models,Vicuna/LLaMA-2,Natural Language,Defense Evaluation,Multiple baseline defenses,N/A,Various defenses,Limited effectiveness,Attack success rate,GCG attacks,Multiple models,Current defenses insufficient,Better defenses needed,Novel defense mechanisms,High - defense evaluation,5,Comprehensive defense evaluation
S038,Zhang,2024,Goal prioritization defense,Journal Article,arXiv preprint,https://arxiv.org/abs/2311.09096,Empirical,Goal prioritization for defense,Large Language Models,LLaMA-2,Natural Language,Defense Mechanism,Goal prioritization training,N/A,Goal Prioritization,Good (reduces ASR significantly),Attack success rate,AdvBench,Multiple scenarios,Goal-based defense effective,Requires careful tuning,Scale to more models,High - goal-based defense,5,Goal prioritization approach
S039,Zou,2024,Circuit breakers,Journal Article,arXiv preprint,https://arxiv.org/abs/2406.04313,Empirical,Circuit breaker defense,Large Language Models,LLaMA-family,Natural Language,Defense Mechanism,Representation engineering,N/A,Circuit Breakers,Very Good (near 100% defense),Attack success rate,Multiple benchmarks,Multiple models,Circuit breakers highly effective,Potential capability tradeoffs,Minimize capability loss,High - strong defense,5,Highly effective defense mechanism
S040,Gehman,2020,RealToxicityPrompts,Conference Paper,EMNLP Findings,https://arxiv.org/abs/2009.11462,Empirical,Evaluate toxicity in LMs,Language Models,GPT-2/GPT-3,Natural Language,Evaluation Benchmark,Toxicity measurement,N/A,None,N/A,Toxicity probability,100K prompts,100K prompts,LMs can generate toxic content,Mitigation challenging,Develop detoxification methods,High - important benchmark,5,Toxicity evaluation benchmark
S041,Perez,2023,Model-written evaluations,Conference Paper,ACL Findings,https://arxiv.org/abs/2212.09251,Empirical,Automated behavior evaluation,Large Language Models,GPT-3/InstructGPT,Natural Language,Evaluation Framework,LM-generated tests,N/A,None,N/A,Behavior detection accuracy,Multiple behavior categories,Multiple models,LMs can evaluate themselves,Evaluation quality varies,Improve evaluation,High - evaluation framework,5,Automated evaluation framework
S042,Ganguli,2022,Red teaming to reduce harms,Journal Article,arXiv preprint,https://arxiv.org/abs/2209.07858,Empirical,Red teaming methodology study,Language Models,Various sizes,Natural Language,Red Teaming,Human red teaming,Varies,RLHF,Reduces harmful outputs,Harmfulness scores,Multiple datasets,Multiple models,Red teaming scales with model size,Coverage limitations,Automated methods needed,High - methodology study,5,Comprehensive red teaming study
S043,Bai,2022,Constitutional AI,Journal Article,arXiv preprint,https://arxiv.org/abs/2212.08073,Empirical,Self-improvement for safety,Large Language Models,Claude,Natural Language,Training Method,AI feedback training,N/A,Constitutional AI,Good (improves harmlessness),Harmlessness/Helpfulness,HH-RLHF dataset,Multiple samples,Self-critique improves safety,Constitution design critical,Better constitution design,High - self-improvement,5,AI feedback for safety
S044,Ouyang,2022,Training LMs with human feedback,Conference Paper,NeurIPS,https://arxiv.org/abs/2203.02155,Empirical,Instruction following with RLHF,Language Models,GPT-3,Natural Language,Training Method,RLHF,N/A,RLHF,Good (improves alignment),Preference accuracy,InstructGPT dataset,Multiple samples,RLHF improves instruction following,Scalability challenges,Improve efficiency,High - foundational RLHF,5,InstructGPT methodology
S045,Glaese,2022,Improving dialogue alignment,Journal Article,arXiv preprint,https://arxiv.org/abs/2209.14375,Empirical,Dialogue agent alignment,Dialogue Models,Sparrow,Natural Language,Training Method,Targeted judgements,N/A,Targeted Training,Good (reduces harmful responses),Rule violation rate,Custom dataset,Multiple conversations,Targeted training effective,Tradeoffs with helpfulness,Balance safety/helpfulness,High - dialogue alignment,5,Sparrow dialogue agent
S046,Dubey,2024,Llama 3 herd of models,Technical Report,arXiv preprint,https://arxiv.org/abs/2407.21783,Technical Report,Llama 3 model development,Large Language Models,Llama 3,Natural Language,Model Development,Improved training/safety,N/A,Multiple safety mechanisms,Good (low violation rates),Various safety metrics,Multiple benchmarks,Multiple model sizes,Comprehensive safety approach,Continued research needed,Advance safety methods,High - state-of-art model,5,Latest Llama model with safety
S047,Achiam,2023,GPT-4 technical report,Technical Report,arXiv preprint,https://arxiv.org/abs/2303.08774,Technical Report,GPT-4 development,Large Language Models,GPT-4,Multi-modal,Model Development,Enhanced safety training,N/A,Multiple safety mechanisms,Good (improved over GPT-3.5),Various safety metrics,Multiple benchmarks,N/A,Significant safety improvements,Vulnerabilities remain,Continued improvement,High - state-of-art model,5,GPT-4 with enhanced safety
S048,Anil,2023,Gemini,Technical Report,arXiv preprint,https://arxiv.org/abs/2312.11805,Technical Report,Gemini model development,Multi-modal Models,Gemini,Multi-modal,Model Development,Safety considerations,N/A,Multiple safety mechanisms,Good (comprehensive safety),Various safety metrics,Multiple benchmarks,Multiple model sizes,Multi-modal safety challenges,Continued research needed,Improve multi-modal safety,High - multi-modal model,5,Multi-modal model with safety
S049,Touvron,2023,Llama 2,Technical Report,arXiv preprint,https://arxiv.org/abs/2307.09288,Technical Report,Llama 2 development,Large Language Models,Llama 2,Natural Language,Model Development,Safety fine-tuning,N/A,Multiple safety mechanisms,Good (improved safety over v1),Various safety metrics,Multiple benchmarks,Multiple model sizes,Open-source safety approach,Open challenges remain,Community safety efforts,High - open-source model,5,Open-source LLM with safety
